hidden_layers,n_layers,total_units,learning_rate,alpha,batch_size,n_iterations,val_mae,val_rmse,test_mae,test_rmse
"(64, 32)",2,96,0.0031,0.0004,8,15,0.3593975906657145,0.47152353251354756,0.3492796592122658,0.4315065926162238
"(64, 32)",2,96,0.0031,0.0004,9,15,0.36791241148437676,0.4679956464493949,0.3610667856914171,0.4365693140003508
"(64, 32)",2,96,0.0031,0.0004,10,15,0.3656063546856176,0.46823670473905793,0.35627313505533964,0.4293694195488938
"(64, 32)",2,96,0.0031,0.0005,6,15,0.34880033018340667,0.4627746590192439,0.3340663513175992,0.4183497038557431
"(64, 32)",2,96,0.0031,0.0005,7,15,0.3497526083065555,0.4657703209167583,0.3266304614259993,0.41337642771017086
"(64, 32)",2,96,0.0031,0.0005,8,13,0.379074447075875,0.4662176255477571,0.36173339454111963,0.43494875359795143
"(64, 32)",2,96,0.0031,0.0005,9,15,0.3698341793596546,0.468439628845938,0.35725984836308344,0.4327840086090282
"(64, 32)",2,96,0.0031,0.0005,10,15,0.36576457701699305,0.46915125417646636,0.360979637337333,0.43518490461509063
"(64, 32)",2,96,0.0031,0.0006,6,13,0.3796414679625793,0.46432783224452207,0.3675512942325454,0.4378162664204999
"(64, 32)",2,96,0.0031,0.0006,7,13,0.3793137682778924,0.46139771593266526,0.3623799094187443,0.4306304652622167
"(64, 32)",2,96,0.0031,0.0006,8,13,0.3796019103619132,0.46650529729109574,0.36176627007120005,0.4348022978140742
"(64, 32)",2,96,0.0031,0.0006,9,15,0.3662164847686329,0.46609266382983416,0.3558981320219557,0.4303528587093751
"(64, 32)",2,96,0.0031,0.0006,10,15,0.36757529589981414,0.47137302702182576,0.3598162408026867,0.43301771445799503
"(64, 32)",2,96,0.0031,0.0007,6,13,0.38253645537093317,0.4679556527548704,0.36859129625135123,0.4409466834310758
"(64, 32)",2,96,0.0031,0.0007,7,15,0.35237015881911954,0.468271238325853,0.33333872783187785,0.41937517348293396
"(64, 32)",2,96,0.0031,0.0007,8,13,0.3811314278667284,0.4669380884692665,0.3615864644757818,0.43517947964679127
"(64, 32)",2,96,0.0031,0.0007,9,15,0.36646739924635824,0.46901189098158885,0.3624845266547434,0.4368064838664188
"(64, 32)",2,96,0.0031,0.0007,10,15,0.36537508459385665,0.46998933054523867,0.35883596934642187,0.4327572959388615
"(64, 32)",2,96,0.0031,0.0008,6,13,0.38548501975906807,0.46784975413275914,0.37057478605732236,0.44146290841713537
"(64, 32)",2,96,0.0031,0.0008,7,13,0.3793367450640548,0.4628869580746134,0.36366524443650067,0.43356325648735955
"(64, 32)",2,96,0.0031,0.0008,8,15,0.36056019204369333,0.4677295810050485,0.3443886219937955,0.42649380849475826
